date,code,address,neighbourhood,municipality,collection-point,taste,odor
2020-02-18,RJ-09 P17,Rua Jorge Yunes,Recreio dos Bandeirantes,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P11,Rua Einsten,Itanhangá,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P12,Rua Major Rolinda da Silva,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P15,Avenida Armando Lombardi,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P23,Avenida do Pepe,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P24,Rua General Sidônio Dias Correa,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P26,Rua General Ivan Raposo,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,RJ-08 P27,Avenida Afonso Taunay,Barra da Tijuca,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-18,BX-02 P03,Rua Garibalde,Jardim 25 de Agosto - Duque de,Duque de Caxias,Rede de Distribuição,2,2
2020-02-18,BX-02 P11,Rua Alcindo Guanabara,Parque Felicidade - Duque de Caxias,Duque de Caxias,Rede de Distribuição,2,2
2020-02-18,BX-03 P10,Rua Dr Heitor Da Costa Val,Centro - Mesquita,Mesquita,Rede de Distribuição,2,2
2020-02-18,BX-03 P11,Rua Casulo,Centro - Mesquita,Mesquita,Rede de Distribuição,2,2
2020-02-18,BX-04/2 P03,Rua João Pessoa,Olinda - Nilópolis,Nilópolis,Rede de Distribuição,2,2
2020-02-18,BX-04/2 P08,Rua Coronel França Leite,Cabral - Nilópolis,Nilópolis,Rede de Distribuição,2,2
2020-02-19,RS-CN,Reservatório Caixa Nova,Alto da Boa Vista,Rio de Janeiro,Macro Distribuição,2,2
2020-02-19,RS-ED,Reservatório Eng. de Dentro,Engenho de Dentro,Rio de Janeiro,Macro Distribuição,2,1
2020-02-19,RS-PD,Reservatório Pedregulho,Benfica,Rio de Janeiro,Macro Distribuição,2,2
2020-02-19,RS-MC,Reservatório - Macacos,Jardim Botânico,Rio de Janeiro,Macro Distribuição,2,2
2020-02-19,INT-11  P09,Rua Luiz Coutinho Cavalcanti,Guadalupe,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-19,INT-11  P13,Rua Marina,Bento Ribeiro,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-19,INT-11  P25,Rua Alexandre Gasparoni,Marechal Hermes,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-19,BX-06  P06,Rua Savero Jose Bruno,Aero Clube - Nova Iguaçu,Nova Iguaçu,Rede de Distribuição,2,2
2020-02-19,BX-06 P30,Rua Dr Barros Junior,Centro - Nova Iguaçu,Nova Iguaçu,Rede de Distribuição,2,2
2020-02-19,RJ-14 P09,Pra Reconcavo,Sepetiba,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-19,RJ-14 P21,Etr Paciencia,Santa Cruz,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-20,MQ-SP Disp.,Rua Marquês de Sapucaí - Dispersão,Cidade Nova,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-20,MQ-SP Conc.,Rua Marquês de Sapucaí - Concentração,Cidade Nova,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-20,INT-03 P06,Rua Betula,Guadalupe,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-20,INT-03 P19,Rua Caiena,Bento Ribeiro,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-20,INT-03 P29,Rua Marape,Honório Gurgel,Rio de Janeiro,Rede de Distribuição,2,1
2020-02-20,RJ-13 P02,Rua Olimpia Esteves,Padre Miguel,Rio de Janeiro,Rede de Distribuição,2,2
2020-02-20,RJ-13 P11,Rua Pedro Gomes,Realengo,Rio de Janeiro,Rede de Distribuição,2,2
